locus_tag	ftype	length_bp	gene	EC_number	COG	product
EKHJKCLP_00001	CDS	1413	dnaA	3.6.4.-	COG0593	Chromosomal replication initiator protein DnaA
EKHJKCLP_00002	CDS	744	nfrA2	1.5.1.39	COG0778	FMN reductase [NAD(P)H]
EKHJKCLP_00003	CDS	2538				hypothetical protein
EKHJKCLP_00004	CDS	2682				hypothetical protein
EKHJKCLP_00005	CDS	393	folB	4.1.2.25		Dihydroneopterin aldolase
EKHJKCLP_00006	CDS	522	mgsA_1	4.2.3.3	COG1803	Methylglyoxal synthase
EKHJKCLP_00007	CDS	1083				hypothetical protein
EKHJKCLP_00008	CDS	936	lpxL	2.3.1.241		Lipid A biosynthesis lauroyltransferase
EKHJKCLP_00009	CDS	1320	mtaB	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
EKHJKCLP_00010	CDS	1674		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
EKHJKCLP_00011	CDS	216				hypothetical protein
EKHJKCLP_00012	CDS	906	iolE	4.2.1.44		Inosose dehydratase
EKHJKCLP_00013	CDS	864		3.2.1.218	COG2152	3-keto-disaccharide hydrolase
EKHJKCLP_00014	CDS	1488	iolG_1	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
EKHJKCLP_00015	CDS	1113	iolG_2	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
EKHJKCLP_00016	CDS	1662				hypothetical protein
EKHJKCLP_00017	CDS	444	rplI			Large ribosomal subunit protein bL9
EKHJKCLP_00018	CDS	273	rpsR			Small ribosomal subunit protein bS18
EKHJKCLP_00019	CDS	345	rpsF			Small ribosomal subunit protein bS6
EKHJKCLP_00020	CDS	447	slyA			Transcriptional regulator SlyA
EKHJKCLP_00021	CDS	177				hypothetical protein
EKHJKCLP_00022	CDS	702	mprA		COG0745	Response regulator MprA
EKHJKCLP_00023	CDS	1548	sasA_1	2.7.13.3		Adaptive-response sensory-kinase SasA
EKHJKCLP_00024	CDS	2157	fusA_1		COG0480	Elongation factor G
EKHJKCLP_00025	CDS	1131	hemW_1		COG0635	Heme chaperone HemW
EKHJKCLP_00026	CDS	561				hypothetical protein
EKHJKCLP_00027	CDS	891				hypothetical protein
EKHJKCLP_00028	CDS	2685				hypothetical protein
EKHJKCLP_00029	CDS	1041				hypothetical protein
EKHJKCLP_00030	CDS	678	lptB_1	7.5.2.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
EKHJKCLP_00031	CDS	306				hypothetical protein
EKHJKCLP_00032	CDS	288				hypothetical protein
EKHJKCLP_00033	CDS	609	lysO_1		COG2431	Lysine exporter LysO
EKHJKCLP_00034	CDS	156				hypothetical protein
EKHJKCLP_00035	CDS	1059				hypothetical protein
EKHJKCLP_00036	CDS	126				hypothetical protein
EKHJKCLP_00037	CDS	693		3.1.3.3		Phosphoserine phosphatase
EKHJKCLP_00038	CDS	1059				hypothetical protein
EKHJKCLP_00039	CDS	1233	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
EKHJKCLP_00040	CDS	3114			COG4771	TonB-dependent receptor P3
EKHJKCLP_00041	CDS	1971				hypothetical protein
EKHJKCLP_00042	CDS	1131				hypothetical protein
EKHJKCLP_00043	CDS	1002				hypothetical protein
EKHJKCLP_00044	CDS	1122				hypothetical protein
EKHJKCLP_00045	CDS	417				hypothetical protein
EKHJKCLP_00046	CDS	810	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
EKHJKCLP_00047	CDS	414	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
EKHJKCLP_00048	CDS	255				hypothetical protein
EKHJKCLP_00049	CDS	1311				hypothetical protein
EKHJKCLP_00050	CDS	975	moxR1_1		COG0714	Chaperone MoxR1
EKHJKCLP_00051	CDS	1284				hypothetical protein
EKHJKCLP_00052	CDS	615				hypothetical protein
EKHJKCLP_00053	CDS	942				hypothetical protein
EKHJKCLP_00054	CDS	963				hypothetical protein
EKHJKCLP_00055	CDS	726				hypothetical protein
