Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_008618.1	1	1500		plus	chromosomal replication initiator protein DnaA	dnaA	4556250	protein-coding		WP_003807173.1	499	BAD_RS00005
NC_008618.1	1997	3121		plus	DNA polymerase III subunit beta	dnaN	4556256	protein-coding		WP_011742562.1	374	BAD_RS00010
NC_008618.1	3200	4411		plus	DNA replication/repair protein RecF	recF	4556625	protein-coding		WP_011742563.1	403	BAD_RS00015
NC_008618.1	4411	4896		plus	DUF721 domain-containing protein		4556564	protein-coding		WP_003807180.1	161	BAD_RS00020
NC_008618.1	5189	7315		plus	DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB	4556146	protein-coding		WP_033499638.1	708	BAD_RS00025
NC_008618.1	7357	10071		plus	DNA gyrase subunit A	gyrA	4556144	protein-coding		WP_021912818.1	904	BAD_RS00030
NC_008618.1	10146	10682		plus	DUF3566 domain-containing protein		4556565	protein-coding		WP_003807186.1	178	BAD_RS00035
NC_008618.1	10915	12261		minus	NADP-specific glutamate dehydrogenase	gdhA	4557701	protein-coding		WP_011742565.1	448	BAD_RS00040
NC_008618.1	12452	12895		plus	MscL family protein		4556423	protein-coding		WP_011742566.1	147	BAD_RS00045
NC_008618.1	13060	13132		minus	tRNA-Ala		4557206	tRNA				BAD_RS00050
NC_008618.1	13134	13206		minus	tRNA-Ala		4557205	tRNA				BAD_RS00055
NC_008618.1	13249	13322		minus	tRNA-Ile		4556192	tRNA				BAD_RS00060
NC_008618.1	13423	14124		plus	M48 family metallopeptidase		4556566	protein-coding		WP_021912820.1	233	BAD_RS00065
NC_008618.1	14138	15478		minus	hemolysin family protein		4556567	protein-coding		WP_041777183.1	446	BAD_RS00070
NC_008618.1	15555	16250		minus	carbonic anhydrase		4556188	protein-coding		WP_011742569.1	231	BAD_RS00075
NC_008618.1	16714	17352		minus	hypothetical protein		31477693	protein-coding		WP_011742570.1	212	BAD_RS08725
NC_008618.1	17422	17823		minus	RDD family protein		31477694	protein-coding		WP_011742571.1	133	BAD_RS08730
NC_008618.1	18090	18245		minus	hypothetical protein		97006706	protein-coding		WP_353486225.1	51	BAD_RS09430
NC_008618.1	19383	19613		minus	uncharacterized gene		23324870	pseudogene				BAD_RS00090
NC_008618.1	19708	20544		minus	hypothetical protein		92971006	protein-coding		WP_230468155.1	278	BAD_RS09225
NC_008618.1	20714	21490		minus	AAA family ATPase		92971007	protein-coding		WP_231837086.1	258	BAD_RS09230
NC_008618.1	21535	21954		minus	ABC-three component system middle component 2		41037637	protein-coding		WP_011742575.1	139	BAD_RS08975
NC_008618.1	21947	22315		minus	ABC-three component system protein		92971008	protein-coding		WP_231837088.1	122	BAD_RS09235
NC_008618.1	22263	22985		minus	hypothetical protein		23324872	protein-coding		WP_231837090.1	240	BAD_RS00100
NC_008618.1	23448	24032		plus	sigma factor-like helix-turn-helix DNA-binding protein		31477695	protein-coding		WP_157822807.1	194	BAD_RS08735
NC_008618.1	24357	26753		plus	glycoside hydrolase domain-containing protein		4556766	protein-coding		WP_008783074.1	798	BAD_RS00110
NC_008618.1	27587	28351		plus	hypothetical protein		4556573	protein-coding		WP_007058018.1	254	BAD_RS00120
NC_008618.1	28422	29057		minus	hypothetical protein		4556574	protein-coding		WP_007054553.1	211	BAD_RS00125
NC_008618.1	29202	31958		minus	phosphoenolpyruvate carboxylase		4556575	protein-coding		WP_011742577.1	918	BAD_RS00130
NC_008618.1	32160	33992		plus	threonine/serine ThrE exporter family protein		4556576	protein-coding		WP_011742578.1	610	BAD_RS00135
NC_008618.1	34050	35645		plus	sodium/proline symporter		4556339	protein-coding		WP_011742579.1	531	BAD_RS00140
NC_008618.1	35784	36884		minus	tryptophan--tRNA ligase	trpS	4556723	protein-coding		WP_011742580.1	366	BAD_RS00145
NC_008618.1	37011	37382		plus	DUF3073 domain-containing protein		4556577	protein-coding		WP_011742581.1	123	BAD_RS00150
NC_008618.1	37518	37955		minus	sterol carrier family protein		4556578	protein-coding		WP_011742582.1	145	BAD_RS00155
NC_008618.1	38284	40740		plus	glycogen/starch/alpha-glucan phosphorylase		4557709	protein-coding		WP_011742583.1	818	BAD_RS00160
NC_008618.1	41069	41299		minus	hypothetical protein		23324874	protein-coding		WP_021913506.1	76	BAD_RS00165
NC_008618.1	41440	42228		plus	rhomboid family intramembrane serine protease		23324875	protein-coding		WP_041777187.1	262	BAD_RS00170
NC_008618.1	42641	43915		plus	class I SAM-dependent methyltransferase		4557057	protein-coding		WP_011742586.1	424	BAD_RS00175
NC_008618.1	44105	44566		minus	cell division protein CrgA	crgA	4557058	protein-coding		WP_021913503.1	153	BAD_RS00180
NC_008618.1	44708	45487		plus	DUF881 domain-containing protein		4557059	protein-coding		WP_011742588.1	259	BAD_RS00185
NC_008618.1	45494	46588		plus	class E sortase		4557060	protein-coding		WP_011742589.1	364	BAD_RS00190
NC_008618.1	46670	47314		plus	anthranilate synthase component II		4556343	protein-coding		WP_041777188.1	214	BAD_RS00195
NC_008618.1	47433	49493		minus	Stk1 family PASTA domain-containing Ser/Thr kinase	pknB	4556535	protein-coding		WP_011742591.1	686	BAD_RS00200
