Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NZ_JAQEGR010000001.1	48	869		plus	ParA family protein		79854124	protein-coding		WP_119189008.1	273	PGS38_RS00005
NZ_JAQEGR010000001.1	826	1761		plus	ParB/RepB/Spo0J family partition protein		79854125	protein-coding		WP_119189007.1	311	PGS38_RS00010
NZ_JAQEGR010000001.1	1805	2091		plus	DUF5720 family protein		79854126	protein-coding		WP_270475717.1	94	PGS38_RS00015
NZ_JAQEGR010000001.1	2159	2311		plus	uncharacterized gene		79854127	pseudogene				PGS38_RS00020
NZ_JAQEGR010000001.1	2311	2877		plus	uncharacterized gene		79854128	pseudogene				PGS38_RS00025
NZ_JAQEGR010000001.1	2874	3218		plus	TnpV protein		79854129	protein-coding		WP_118639935.1	114	PGS38_RS00030
NZ_JAQEGR010000001.1	3665	4344		plus	uncharacterized gene		79854130	pseudogene				PGS38_RS00035
NZ_JAQEGR010000001.1	4890	5249		plus	DUF3847 domain-containing protein		79854131	protein-coding		WP_117509145.1	119	PGS38_RS00040
NZ_JAQEGR010000001.1	5215	6711		plus	MobQ family relaxase	mobQ	79854132	protein-coding		WP_118639934.1	498	PGS38_RS00045
NZ_JAQEGR010000001.1	6708	7123		plus	uncharacterized gene		79854133	pseudogene				PGS38_RS00050
NZ_JAQEGR010000001.1	7760	7915		minus	uncharacterized gene		79854134	pseudogene				PGS38_RS00055
NZ_JAQEGR010000001.1	8189	8326		plus	hypothetical protein		79854135	protein-coding		WP_442857661.1	45	PGS38_RS00060
NZ_JAQEGR010000001.1	8422	9444		minus	helix-turn-helix domain-containing protein		79854136	protein-coding		WP_118639933.1	340	PGS38_RS00065
NZ_JAQEGR010000001.1	9441	9827		minus	ArsR/SmtB family transcription factor		79854137	protein-coding		WP_055228485.1	128	PGS38_RS00070
NZ_JAQEGR010000001.1	9881	10423		minus	Rrf2 family transcriptional regulator		79854138	protein-coding		WP_243104816.1	180	PGS38_RS00075
NZ_JAQEGR010000001.1	10551	11531		plus	SIR2 family NAD-dependent protein deacylase		79854139	protein-coding		WP_173829423.1	326	PGS38_RS00080
NZ_JAQEGR010000001.1	11528	12409		plus	SIR2 family NAD-dependent protein deacylase		79854140	protein-coding		WP_118639932.1	293	PGS38_RS00085
NZ_JAQEGR010000001.1	12426	13262		plus	SIR2 family NAD-dependent protein deacylase		79854141	protein-coding		WP_118639931.1	278	PGS38_RS00090
NZ_JAQEGR010000001.1	13296	13859		plus	DNA-3-methyladenine glycosylase I		79854142	protein-coding		WP_118639952.1	187	PGS38_RS00095
NZ_JAQEGR010000001.1	13945	14298		minus	winged helix-turn-helix transcriptional regulator		79854143	protein-coding		WP_117800764.1	117	PGS38_RS00100
NZ_JAQEGR010000001.1	14453	14956		plus	flavin reductase family protein		79854144	protein-coding		WP_118639930.1	167	PGS38_RS00105
NZ_JAQEGR010000001.1	15211	16128		plus	radical SAM mobile pair protein B		79854145	protein-coding		WP_118639929.1	305	PGS38_RS00110
NZ_JAQEGR010000001.1	16431	17321		plus	LysR family transcriptional regulator		79854146	protein-coding		WP_022462480.1	296	PGS38_RS00115
NZ_JAQEGR010000001.1	17435	17629		plus	DUF4224 domain-containing protein		79854147	protein-coding		WP_022462481.1	64	PGS38_RS00120
NZ_JAQEGR010000001.1	17650	18993		plus	MATE family efflux transporter		79854148	protein-coding		WP_117760428.1	447	PGS38_RS00125
NZ_JAQEGR010000001.1	19132	19296		plus	oxidoreductase Fe-dependent alcohol dehydrogenase family		87803024	protein-coding		WP_022462483.1	54	PGS38_RS17420
NZ_JAQEGR010000001.1	19764	20780		plus	O-acetyl-ADP-ribose deacetylase		79854150	protein-coding		WP_118639928.1	338	PGS38_RS00135
NZ_JAQEGR010000001.1	20967	21617		plus	vWA domain-containing protein		79854151	protein-coding		WP_117814036.1	216	PGS38_RS00140
NZ_JAQEGR010000001.1	21622	22656		plus	alcohol dehydrogenase		79854152	protein-coding		WP_055228476.1	344	PGS38_RS00145
NZ_JAQEGR010000001.1	22830	22991		plus	hypothetical protein		79854153	protein-coding		WP_158565074.1	53	PGS38_RS00150
NZ_JAQEGR010000001.1	23041	23883		minus	4Fe-4S binding protein		79854154	protein-coding		WP_118639951.1	280	PGS38_RS00155
NZ_JAQEGR010000001.1	24501	25802		plus	MFS transporter		79854155	protein-coding		WP_118639927.1	433	PGS38_RS00160
NZ_JAQEGR010000001.1	25937	26305		plus	hypothetical protein		79854156	protein-coding		WP_243104815.1	122	PGS38_RS00165
NZ_JAQEGR010000001.1	26576	26791		plus	hypothetical protein		79854157	protein-coding		WP_022462490.1	71	PGS38_RS00170
NZ_JAQEGR010000001.1	27208	28203		plus	asparaginase		79854158	protein-coding		WP_117509129.1	331	PGS38_RS00175
NZ_JAQEGR010000001.1	28537	28809		plus	2,5-dihydroxypyridine 5,6-dioxygenase NicX family protein		79854159	protein-coding		WP_191892600.1	90	PGS38_RS00180
NZ_JAQEGR010000001.1	28858	29502		plus	pyroglutamyl-peptidase I	pcp	79854160	protein-coding		WP_117509128.1	214	PGS38_RS00185
NZ_JAQEGR010000001.1	29642	30124		plus	LeuD/DmdB family oxidoreductase small subunit		79854161	protein-coding		WP_055218301.1	160	PGS38_RS00190
NZ_JAQEGR010000001.1	30130	31380		plus	3-isopropylmalate dehydratase large subunit		79854162	protein-coding		WP_117509127.1	416	PGS38_RS00195
NZ_JAQEGR010000001.1	31426	31917		plus	LeuD/DmdB family oxidoreductase small subunit		79854163	protein-coding		WP_022462500.1	163	PGS38_RS00200
NZ_JAQEGR010000001.1	31936	33183		plus	3-isopropylmalate dehydratase large subunit		79854164	protein-coding		WP_117509126.1	415	PGS38_RS00205
NZ_JAQEGR010000001.1	33218	34744		plus	Na+/H+ antiporter NhaC family protein		79854165	protein-coding		WP_117509125.1	508	PGS38_RS00210
NZ_JAQEGR010000001.1	35075	36847		plus	ABC transporter ATP-binding protein		79854166	protein-coding		WP_158554957.1	590	PGS38_RS00215
NZ_JAQEGR010000001.1	36850	38748		plus	ABC transporter ATP-binding protein		79854167	protein-coding		WP_117509123.1	632	PGS38_RS00220
NZ_JAQEGR010000001.1	38998	39690		plus	YoaK family protein		79854168	protein-coding		WP_242991102.1	230	PGS38_RS00225
NZ_JAQEGR010000001.1	39726	40007		plus	hypothetical protein		79854169	protein-coding		WP_022462506.1	93	PGS38_RS00230
NZ_JAQEGR010000001.1	40107	40994		minus	LysR family transcriptional regulator		79854170	protein-coding		WP_055267072.1	295	PGS38_RS00235
NZ_JAQEGR010000001.1	41248	43788		plus	heavy metal translocating P-type ATPase		79854171	protein-coding		WP_055267070.1	846	PGS38_RS00240
NZ_JAQEGR010000001.1	43982	45148		plus	GNAT family N-acetyltransferase		79854172	protein-coding		WP_055267068.1	388	PGS38_RS00245
NZ_JAQEGR010000001.1	45176	45481		plus	acylphosphatase		79854173	protein-coding		WP_055218278.1	101	PGS38_RS00250
NZ_JAQEGR010000001.1	45482	45733		minus	YlmC/YmxH family sporulation protein		79854174	protein-coding		WP_055267066.1	83	PGS38_RS00255
NZ_JAQEGR010000001.1	45876	46328		plus	transcriptional regulator NrdR	nrdR	79854175	protein-coding		WP_022462512.1	150	PGS38_RS00260
