Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NZ_CP048433.1	487	996		minus	hypothetical protein		92848790	protein-coding		WP_006234461.1	169	GXM19_RS00010
NZ_CP048433.1	993	1289		minus	hypothetical protein		92848791	protein-coding		WP_006234460.1	98	GXM19_RS00015
NZ_CP048433.1	1634	3235		plus	FAD-binding oxidoreductase		92848792	protein-coding		WP_172544912.1	533	GXM19_RS00020
NZ_CP048433.1	3238	4053		plus	electron transfer flavoprotein subunit beta/FixA family protein		92848793	protein-coding		WP_006234456.1	271	GXM19_RS00025
NZ_CP048433.1	4054	5259		plus	electron transfer flavoprotein subunit alpha		92848794	protein-coding		WP_006234455.1	401	GXM19_RS00030
NZ_CP048433.1	5256	6068		minus	HD domain-containing protein		92848795	protein-coding		WP_006234454.1	270	GXM19_RS00035
NZ_CP048433.1	6231	6887		plus	AzlC family ABC transporter permease		92848796	protein-coding		WP_208853609.1	218	GXM19_RS00040
NZ_CP048433.1	6877	7200		plus	AzlD domain-containing protein		92848797	protein-coding		WP_006234452.1	107	GXM19_RS00045
NZ_CP048433.1	7351	8373		plus	2-keto-3-deoxygluconate permease		92848798	protein-coding		WP_006234451.1	340	GXM19_RS00050
NZ_CP048433.1	8563	9705		plus	GGDEF domain-containing protein		92848799	protein-coding		WP_040358649.1	380	GXM19_RS00055
NZ_CP048433.1	9805	10740		minus	DMT family transporter		92848800	protein-coding		WP_006234449.1	311	GXM19_RS00060
NZ_CP048433.1	10841	14587		minus	phosphoribosylformylglycinamidine synthase		92848801	protein-coding		WP_006234448.1	1248	GXM19_RS00065
NZ_CP048433.1	14772	16334		plus	cation:proton antiporter domain-containing protein		92848802	protein-coding		WP_006234446.1	520	GXM19_RS00070
NZ_CP048433.1	16556	17305		minus	SDR family NAD(P)-dependent oxidoreductase		92848803	protein-coding		WP_006234445.1	249	GXM19_RS00075
NZ_CP048433.1	17514	18857		minus	homoserine dehydrogenase		92848804	protein-coding		WP_006234444.1	447	GXM19_RS00080
NZ_CP048433.1	19111	20277		plus	ABC transporter substrate-binding protein		92848805	protein-coding		WP_006234443.1	388	GXM19_RS00085
NZ_CP048433.1	20547	21734		plus	ABC transporter substrate-binding protein		92848806	protein-coding		WP_006234442.1	395	GXM19_RS00090
NZ_CP048433.1	21874	22755		plus	branched-chain amino acid ABC transporter permease		92848807	protein-coding		WP_040358647.1	293	GXM19_RS00095
NZ_CP048433.1	22765	23844		plus	branched-chain amino acid ABC transporter permease		92848808	protein-coding		WP_006234440.1	359	GXM19_RS00100
NZ_CP048433.1	23834	24694		plus	ABC transporter ATP-binding protein		92848809	protein-coding		WP_006234439.1	286	GXM19_RS00105
NZ_CP048433.1	24695	25408		plus	ABC transporter ATP-binding protein		92848810	protein-coding		WP_006234438.1	237	GXM19_RS00110
NZ_CP048433.1	25583	26260		plus	copper homeostasis protein CutC		92848811	protein-coding		WP_006234437.1	225	GXM19_RS00115
NZ_CP048433.1	26264	27061		plus	DUF4931 domain-containing protein		92848812	protein-coding		WP_040358645.1	265	GXM19_RS00120
NZ_CP048433.1	27092	28090		minus	bile acid:sodium symporter family protein		92848813	protein-coding		WP_006234434.1	332	GXM19_RS00125
NZ_CP048433.1	28365	31652		plus	single-stranded-DNA-specific exonuclease RecJ	recJ	92848814	protein-coding		WP_006234433.1	1095	GXM19_RS00130
NZ_CP048433.1	31668	34028		plus	RelA/SpoT family protein		92848815	protein-coding		WP_115596178.1	786	GXM19_RS00135
NZ_CP048433.1	34117	34800		plus	MBL fold metallo-hydrolase		92848816	protein-coding		WP_040358829.1	227	GXM19_RS00140
NZ_CP048433.1	34995	35861		plus	class II fructose-1,6-bisphosphate aldolase	fba	92848817	protein-coding		WP_006234429.1	288	GXM19_RS00145
NZ_CP048433.1	36118	37551		plus	transglutaminase-like domain-containing protein		92848818	protein-coding		WP_115596179.1	477	GXM19_RS00150
NZ_CP048433.1	37591	37677		plus	tRNA-Leu		92848819	tRNA				GXM19_RS00155
NZ_CP048433.1	38109	38678		plus	translation initiation factor IF-3	infC	92848820	protein-coding		WP_006234423.1	189	GXM19_RS00160
NZ_CP048433.1	38711	38902		plus	50S ribosomal protein L35	rpmI	92848821	protein-coding		WP_006234422.1	63	GXM19_RS00165
NZ_CP048433.1	38942	39301		plus	50S ribosomal protein L20	rplT	92848822	protein-coding		WP_006234421.1	119	GXM19_RS00170
NZ_CP048433.1	39838	41343		plus	16S ribosomal RNA		92848823	rRNA				GXM19_RS00175
NZ_CP048433.1	41745	44719		plus	23S ribosomal RNA		92848824	rRNA				GXM19_RS00180
NZ_CP048433.1	44866	44981		plus	5S ribosomal RNA	rrf	92848825	rRNA				GXM19_RS00185
NZ_CP048433.1	45352	46509		plus	IS110 family RNA-guided transposase		92848826	protein-coding		WP_225093533.1	385	GXM19_RS00190
NZ_CP048433.1	46712	47353		plus	dephospho-CoA kinase	coaE	92848827	protein-coding		WP_006236177.1	213	GXM19_RS00195
NZ_CP048433.1	47346	47927		plus	lytic transglycosylase domain-containing protein		92848828	protein-coding		WP_006236176.1	193	GXM19_RS00200
NZ_CP048433.1	47979	50219		plus	excinuclease ABC subunit UvrB	uvrB	92848829	protein-coding		WP_040360005.1	746	GXM19_RS00205
NZ_CP048433.1	50285	51925		minus	NAD(P)/FAD-dependent oxidoreductase		92848830	protein-coding		WP_040360003.1	546	GXM19_RS00210
NZ_CP048433.1	52006	53277		minus	NAD(P)/FAD-dependent oxidoreductase		92848831	protein-coding		WP_040360001.1	423	GXM19_RS00215
NZ_CP048433.1	53278	54108		minus	Mrp/NBP35 family ATP-binding protein		92848832	protein-coding		WP_006236172.1	276	GXM19_RS00220
NZ_CP048433.1	54254	56482		minus	LTA synthase family protein		92848833	protein-coding		WP_082222961.1	742	GXM19_RS00225
NZ_CP048433.1	56601	59480		plus	excinuclease ABC subunit UvrA	uvrA	92848834	protein-coding		WP_006236170.1	959	GXM19_RS00230
NZ_CP048433.1	59613	60113		plus	Cys-tRNA(Pro) deacylase	ybaK	92848835	protein-coding		WP_006236166.1	166	GXM19_RS00235
NZ_CP048433.1	60219	61799		plus	murein biosynthesis integral membrane protein MurJ	murJ	92848836	protein-coding		WP_006236165.1	526	GXM19_RS00240
NZ_CP048433.1	61806	63746		plus	excinuclease ABC subunit UvrC	uvrC	92848837	protein-coding		WP_305954489.1	646	GXM19_RS00245
NZ_CP048433.1	64112	65725		plus	ABC transporter substrate-binding protein		92848838	protein-coding		WP_006236162.1	537	GXM19_RS00250
NZ_CP048433.1	65883	66839		plus	ABC transporter permease		92848839	protein-coding		WP_035138896.1	318	GXM19_RS00255
NZ_CP048433.1	66843	68858		plus	dipeptide/oligopeptide/nickel ABC transporter permease/ATP-binding protein		92848840	protein-coding		WP_006236160.1	671	GXM19_RS00260
NZ_CP048433.1	68859	69686		plus	ABC transporter ATP-binding protein		92848841	protein-coding		WP_006236159.1	275	GXM19_RS00265
NZ_CP048433.1	69767	70744		plus	acetylxylan esterase		92848842	protein-coding		WP_006236158.1	325	GXM19_RS00270
NZ_CP048433.1	70737	71588		plus	acetylxylan esterase		92848843	protein-coding		WP_006236157.1	283	GXM19_RS00275
NZ_CP048433.1	71657	72577		plus	dihydrodipicolinate synthase family protein		92848844	protein-coding		WP_040359998.1	306	GXM19_RS00280
