Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NZ_CP132968.1	10	1344		plus	chromosomal replication initiator protein DnaA	dnaA	92739744	protein-coding		WP_008392980.1	444	RBI15_RS00005
NZ_CP132968.1	1627	2730		plus	DNA polymerase III subunit beta	dnaN	92739745	protein-coding		WP_009203096.1	367	RBI15_RS00010
NZ_CP132968.1	2746	2952		plus	RNA-binding S4 domain-containing protein		92739746	protein-coding		WP_008392977.1	68	RBI15_RS00015
NZ_CP132968.1	2964	4049		plus	DNA replication/repair protein RecF	recF	92739747	protein-coding		WP_008392976.1	361	RBI15_RS00020
NZ_CP132968.1	4059	5981		plus	DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB	92739748	protein-coding		WP_008392975.1	640	RBI15_RS00025
NZ_CP132968.1	5996	8479		plus	DNA gyrase subunit A	gyrA	92739749	protein-coding		WP_009203097.1	827	RBI15_RS00030
NZ_CP132968.1	8631	9473		plus	fumarate hydratase		92739750	protein-coding		WP_173775032.1	280	RBI15_RS00035
NZ_CP132968.1	9549	10103		plus	Fe-S-containing hydro-lyase		92739751	protein-coding		WP_009203099.1	184	RBI15_RS00040
NZ_CP132968.1	10203	10290		plus	tRNA-Ser		92739752	tRNA				RBI15_RS00045
NZ_CP132968.1	10795	12327		plus	16S ribosomal RNA		92739753	rRNA				RBI15_RS00050
NZ_CP132968.1	12390	12507		plus	5S ribosomal RNA	rrf	92739754	rRNA				RBI15_RS00055
NZ_CP132968.1	12819	15706		plus	23S ribosomal RNA		92739755	rRNA				RBI15_RS00060
NZ_CP132968.1	15778	15851		plus	tRNA-Asp		92739756	tRNA				RBI15_RS00065
NZ_CP132968.1	15871	15943		plus	tRNA-Val		92739757	tRNA				RBI15_RS00070
NZ_CP132968.1	15964	16036		plus	tRNA-Thr		92739758	tRNA				RBI15_RS00075
NZ_CP132968.1	16086	16167		plus	tRNA-Tyr		92739759	tRNA				RBI15_RS00080
NZ_CP132968.1	16180	16253		plus	tRNA-Met		92739760	tRNA				RBI15_RS00085
NZ_CP132968.1	16277	16349		plus	tRNA-Phe		92739761	tRNA				RBI15_RS00090
NZ_CP132968.1	16498	17880		plus	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme		92739762	protein-coding		WP_306856908.1	460	RBI15_RS00095
NZ_CP132968.1	17893	18519		plus	dTMP kinase	tmk	92739763	protein-coding		WP_173761133.1	208	RBI15_RS00100
NZ_CP132968.1	18526	19518		plus	DNA polymerase III subunit delta'	holB	92739764	protein-coding		WP_009265717.1	330	RBI15_RS00105
NZ_CP132968.1	19512	20414		plus	PSP1 domain-containing protein		92739765	protein-coding		WP_173782786.1	300	RBI15_RS00110
NZ_CP132968.1	20395	21129		plus	tRNA1(Val) (adenine(37)-N6)-methyltransferase		92739766	protein-coding		WP_008393788.1	244	RBI15_RS00115
NZ_CP132968.1	21132	21977		plus	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	rsmI	92739767	protein-coding		WP_009203992.1	281	RBI15_RS00120
NZ_CP132968.1	22060	22329		minus	AbrB/MazE/SpoVT family DNA-binding domain-containing protein		92739768	protein-coding		WP_008393791.1	89	RBI15_RS00125
NZ_CP132968.1	22442	24412		minus	methionine--tRNA ligase	metG	92739769	protein-coding		WP_173774983.1	656	RBI15_RS00130
NZ_CP132968.1	24528	26297		plus	DUF885 domain-containing protein		92739770	protein-coding		WP_306856915.1	589	RBI15_RS00135
NZ_CP132968.1	26313	27998		plus	phosphoenolpyruvate carboxykinase (ATP)		92739771	protein-coding		WP_008393796.1	561	RBI15_RS00140
NZ_CP132968.1	28064	28474		plus	MarR family winged helix-turn-helix transcriptional regulator		92739772	protein-coding		WP_008393797.1	136	RBI15_RS00145
NZ_CP132968.1	29318	29836		plus	YcxB family protein		92739773	protein-coding		WP_173782784.1	172	RBI15_RS00150
NZ_CP132968.1	29986	30507		plus	ECF transporter S component		92739774	protein-coding		WP_008392219.1	173	RBI15_RS00155
NZ_CP132968.1	30606	31739		plus	pyridoxal-phosphate-dependent aminotransferase family protein		92739775	protein-coding		WP_306856919.1	377	RBI15_RS00160
NZ_CP132968.1	31736	33865		plus	SulP family inorganic anion transporter		92739776	protein-coding		WP_306856921.1	709	RBI15_RS00165
NZ_CP132968.1	33940	35691		minus	leucine-rich repeat protein		92739777	protein-coding		WP_306856923.1	583	RBI15_RS00170
NZ_CP132968.1	35753	36160		minus	nucleoside recognition domain-containing protein		92739778	protein-coding		WP_330368293.1	135	RBI15_RS00175
NZ_CP132968.1	36265	36837		minus	hypothetical protein		92739779	protein-coding		WP_173723609.1	190	RBI15_RS00180
NZ_CP132968.1	36977	37047		plus	tRNA-Gly		92739780	tRNA				RBI15_RS00185
NZ_CP132968.1	37141	38088		plus	NYN domain-containing protein		92739781	protein-coding		WP_015530602.1	315	RBI15_RS00190
NZ_CP132968.1	38085	38858		plus	TatD family hydrolase		92739782	protein-coding		WP_008392226.1	257	RBI15_RS00195
NZ_CP132968.1	38862	39719		plus	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA	rsmA	92739783	protein-coding		WP_008392227.1	285	RBI15_RS00200
NZ_CP132968.1	39708	40607		minus	DUF6128 domain-containing protein		92739784	protein-coding		WP_173723608.1	299	RBI15_RS00205
NZ_CP132968.1	40659	41144		plus	tRNA adenosine(34) deaminase TadA	tadA	92739785	protein-coding		WP_009265698.1	161	RBI15_RS00210
NZ_CP132968.1	41131	42765		plus	lectin like domain-containing protein		92739786	protein-coding		WP_306856929.1	544	RBI15_RS00215
NZ_CP132968.1	42854	43117		plus	signal recognition particle sRNA large type	ffs	92739787	other				RBI15_RS00220
NZ_CP132968.1	43234	43884		plus	GTP pyrophosphokinase		92739788	protein-coding		WP_008392232.1	216	RBI15_RS00225
NZ_CP132968.1	43948	44340		plus	hypothetical protein		92739789	protein-coding		WP_009265694.1	130	RBI15_RS00230
NZ_CP132968.1	44519	47014		plus	hypothetical protein		92739790	protein-coding		WP_118352605.1	831	RBI15_RS00235
NZ_CP132968.1	47150	49366		plus	transglycosylase domain-containing protein		92739791	protein-coding		WP_306856933.1	738	RBI15_RS00240
NZ_CP132968.1	49481	50650		minus	ribose-phosphate pyrophosphokinase		92739792	protein-coding		WP_008392237.1	389	RBI15_RS00245
NZ_CP132968.1	50705	51691		minus	ATP-binding protein		92739793	protein-coding		WP_306856934.1	328	RBI15_RS00250
NZ_CP132968.1	51695	52786		minus	DnaD domain protein		92739794	protein-coding		WP_306856935.1	363	RBI15_RS00255
NZ_CP132968.1	53034	54419		minus	UDP-N-acetylmuramate--L-alanine ligase	murC	92739795	protein-coding		WP_015530603.1	461	RBI15_RS00260
NZ_CP132968.1	54727	55014		plus	septation regulator SpoVG	spoVG	92739796	protein-coding		WP_008392243.1	95	RBI15_RS00265
NZ_CP132968.1	55140	55331		plus	DUF951 domain-containing protein		92739797	protein-coding		WP_008392244.1	63	RBI15_RS00270
NZ_CP132968.1	55424	55711		plus	30S ribosomal protein S6	rpsF	92739798	protein-coding		WP_009203185.1	95	RBI15_RS00275
NZ_CP132968.1	55733	56176		plus	single-stranded DNA-binding protein		92739799	protein-coding		WP_008392248.1	147	RBI15_RS00280
NZ_CP132968.1	56193	56447		plus	30S ribosomal protein S18	rpsR	92739800	protein-coding		WP_008392249.1	84	RBI15_RS00285
NZ_CP132968.1	56706	58781		plus	DHH family phosphoesterase		92739801	protein-coding		WP_008392250.1	691	RBI15_RS00290
NZ_CP132968.1	58785	59228		plus	50S ribosomal protein L9	rplI	92739802	protein-coding		WP_008392251.1	147	RBI15_RS00295
NZ_CP132968.1	59241	60581		plus	replicative DNA helicase	dnaB	92739803	protein-coding		WP_008392252.1	446	RBI15_RS00300
NZ_CP132968.1	60692	61402		plus	ComF family protein		92739804	protein-coding		WP_055158887.1	236	RBI15_RS00305
NZ_CP132968.1	61492	62532		plus	A/G-specific adenine glycosylase	mutY	92739805	protein-coding		WP_009203177.1	346	RBI15_RS00310
NZ_CP132968.1	62609	63397		plus	basic amino acid ABC transporter substrate-binding protein		92739806	protein-coding		WP_209291433.1	262	RBI15_RS00315
NZ_CP132968.1	63423	64100		plus	amino acid ABC transporter permease		92739807	protein-coding		WP_055232823.1	225	RBI15_RS00320
NZ_CP132968.1	64087	64809		plus	amino acid ABC transporter ATP-binding protein		92739808	protein-coding		WP_008392257.1	240	RBI15_RS00325
NZ_CP132968.1	65021	66325		plus	diguanylate cyclase		92739809	protein-coding		WP_306856946.1	434	RBI15_RS00330
NZ_CP132968.1	66361	67185		plus	substrate-binding periplasmic protein		92739810	protein-coding		WP_173782778.1	274	RBI15_RS00335
NZ_CP132968.1	67175	69331		plus	response regulator		92739811	protein-coding		WP_306856948.1	718	RBI15_RS00340
NZ_CP132968.1	69475	69786		plus	hypothetical protein		92739812	protein-coding		WP_008392264.1	103	RBI15_RS00345
NZ_CP132968.1	69799	70866		plus	V-type ATPase subunit		92739813	protein-coding		WP_306856951.1	355	RBI15_RS00350
NZ_CP132968.1	70863	72812		plus	V-type ATP synthase subunit I		92739814	protein-coding		WP_008392266.1	649	RBI15_RS00355
NZ_CP132968.1	72825	73259		plus	ATP synthase subunit C		92739815	protein-coding		WP_008392267.1	144	RBI15_RS00360
