Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NZ_AP021898.1	1	1407		plus	chromosomal replication initiator protein DnaA	dnaA	60879417	protein-coding		WP_065529414.1	468	GOZ73_RS00005
NZ_AP021898.1	1557	2492		plus	ABC transporter ATP-binding protein		60879418	protein-coding		WP_012419065.1	311	GOZ73_RS00010
NZ_AP021898.1	2550	3332		plus	ABC transporter permease subunit		60879419	protein-coding		WP_012419066.1	260	GOZ73_RS00015
NZ_AP021898.1	3367	4938		plus	DUF7088 domain-containing protein		60879420	protein-coding		WP_102746802.1	523	GOZ73_RS00020
NZ_AP021898.1	4967	7021		plus	DUF4340 domain-containing protein		60879421	protein-coding		WP_102746801.1	684	GOZ73_RS00025
NZ_AP021898.1	7035	7814		plus	Nif3-like dinuclear metal center hexameric protein		60879422	protein-coding		WP_031929918.1	259	GOZ73_RS00030
NZ_AP021898.1	7831	8802		plus	RluA family pseudouridine synthase		60879423	protein-coding		WP_031929919.1	323	GOZ73_RS00035
NZ_AP021898.1	9175	10332		plus	prephenate dehydratase	pheA	60879424	protein-coding		WP_087393356.1	385	GOZ73_RS00040
NZ_AP021898.1	10378	11994		plus	alpha-L-fucosidase		60879425	protein-coding		WP_155844465.1	538	GOZ73_RS00045
NZ_AP021898.1	12019	14403		plus	NAD-dependent DNA ligase LigA	ligA	60879426	protein-coding		WP_155844466.1	794	GOZ73_RS00050
NZ_AP021898.1	14581	15186		plus	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	pgsA	60879427	protein-coding		WP_022198043.1	201	GOZ73_RS00055
NZ_AP021898.1	15202	17964		minus	phospholipase D-like domain-containing anti-phage protein		60879428	protein-coding		WP_155844467.1	920	GOZ73_RS00060
NZ_AP021898.1	17993	20884		minus	DUF1156 domain-containing protein		60879429	protein-coding		WP_155844468.1	963	GOZ73_RS00065
NZ_AP021898.1	20924	21499		minus	DUF3780 domain-containing protein		60879430	protein-coding		WP_102749054.1	191	GOZ73_RS00070
NZ_AP021898.1	21492	24587		minus	DUF499 domain-containing protein		60879431	protein-coding		WP_155844469.1	1031	GOZ73_RS00075
NZ_AP021898.1	24883	25950		plus	tyrosine-type recombinase/integrase		60879432	protein-coding		WP_022196857.1	355	GOZ73_RS00080
NZ_AP021898.1	26184	26792		plus	hypothetical protein		60879433	protein-coding		WP_022196858.1	202	GOZ73_RS00085
