Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NZ_CP042284.1	757	1008	pPDS2-1	plus	hypothetical protein		93521495	protein-coding		WP_004295507.1	83	FQN59_RS00010
NZ_CP042284.1	1005	1280	pPDS2-1	plus	type II toxin-antitoxin system YoeB family toxin		93521496	protein-coding		WP_004327436.1	91	FQN59_RS00015
NZ_CP042284.1	1291	1488	pPDS2-1	plus	hypothetical protein		93521497	protein-coding		WP_004295503.1	65	FQN59_RS00020
NZ_CP042284.1	1681	1980	pPDS2-1	plus	mobilization protein MbpA	mbpA	93525965	protein-coding		WP_004327437.1	99	FQN59_RS22710
NZ_CP042284.1	1977	2771	pPDS2-1	plus	mobilization protein MbpB	mbpB	93521498	protein-coding		WP_007560590.1	264	FQN59_RS00025
NZ_CP042284.1	2728	3180	pPDS2-1	plus	mobilization protein MbpC	mbpC	93521499	protein-coding		WP_004295511.1	150	FQN59_RS00030
NZ_CP042284.1	3200	3430	pPDS2-1	plus	hypothetical protein		93521500	protein-coding		WP_004295510.1	76	FQN59_RS00035
NZ_CP042284.1	3467	344	pPDS2-1	minus	replication initiation protein		93521494	protein-coding		WP_004295509.1	341	FQN59_RS00005
NZ_CP042285.1	445	993		plus	UpxY family transcription antiterminator		93521501	protein-coding		WP_151921227.1	182	FQN59_RS00040
NZ_CP042285.1	1177	1839		plus	hypothetical protein		93525920	protein-coding		WP_249222491.1	220	FQN59_RS22415
NZ_CP042285.1	1895	2332		plus	BT0820 family HAD-type phosphatase		93521502	protein-coding		WP_211737988.1	145	FQN59_RS00050
NZ_CP042285.1	2389	3930		plus	lipopolysaccharide biosynthesis protein		93521503	protein-coding		WP_211737990.1	513	FQN59_RS00055
NZ_CP042285.1	3927	5129		plus	Coenzyme F420 hydrogenase/dehydrogenase, beta subunit C-terminal domain		93521504	protein-coding		WP_211737991.1	400	FQN59_RS00060
NZ_CP042285.1	5126	6274		plus	polysaccharide pyruvyl transferase family protein		93521505	protein-coding		WP_211737993.1	382	FQN59_RS00065
NZ_CP042285.1	6267	7220		plus	glycosyltransferase family 2 protein		93521506	protein-coding		WP_211737995.1	317	FQN59_RS00070
NZ_CP042285.1	7213	8274		plus	acyltransferase family protein		93521507	protein-coding		WP_211737997.1	353	FQN59_RS00075
NZ_CP042285.1	8267	9385		plus	hypothetical protein		93521508	protein-coding		WP_211738000.1	372	FQN59_RS00080
NZ_CP042285.1	9399	10550		plus	UDP-galactopyranose mutase	glf	93521509	protein-coding		WP_211738002.1	383	FQN59_RS00085
NZ_CP042285.1	10543	11577		plus	hypothetical protein		93521510	protein-coding		WP_211738004.1	344	FQN59_RS00090
NZ_CP042285.1	11581	12657		plus	glycosyltransferase family 2 protein		93521511	protein-coding		WP_211738006.1	358	FQN59_RS00095
NZ_CP042285.1	12632	13648		plus	glycosyltransferase family 2 protein		93521512	protein-coding		WP_211738008.1	338	FQN59_RS00100
NZ_CP042285.1	13648	14955		plus	hypothetical protein		93521513	protein-coding		WP_211738010.1	435	FQN59_RS00105
NZ_CP042285.1	14965	15891		plus	capsular polysaccharide synthesis protein		93521514	protein-coding		WP_211738012.1	308	FQN59_RS00110
NZ_CP042285.1	15900	16757		plus	beta-1,6-N-acetylglucosaminyltransferase		93521515	protein-coding		WP_211738014.1	285	FQN59_RS00115
NZ_CP042285.1	16824	17963		plus	glycosyltransferase family 4 protein		93521516	protein-coding		WP_211738016.1	379	FQN59_RS00120
NZ_CP042285.1	17960	19201		plus	glycosyltransferase		93521517	protein-coding		WP_211738018.1	413	FQN59_RS00125
NZ_CP042285.1	19244	20380		plus	glycosyltransferase		93521518	protein-coding		WP_211738019.1	378	FQN59_RS00130
NZ_CP042285.1	20380	21015		plus	sugar transferase		93521519	protein-coding		WP_249222560.1	211	FQN59_RS00135
NZ_CP042285.1	21022	21330		plus	PqqD family protein		93521520	protein-coding		WP_211738021.1	102	FQN59_RS00140
NZ_CP042285.1	21392	22495		plus	nucleotidyltransferase domain-containing protein		93521521	protein-coding		WP_249222492.1	367	FQN59_RS00145
NZ_CP042285.1	22492	23394		plus	phosphoenolpyruvate carboxykinase		93521522	protein-coding		WP_211738022.1	300	FQN59_RS00150
NZ_CP042285.1	23391	24179		plus	polysaccharide biosynthesis/export family protein		93521523	protein-coding		WP_211738023.1	262	FQN59_RS00155
NZ_CP042285.1	24199	26550		plus	GumC family protein		93521524	protein-coding		WP_211738025.1	783	FQN59_RS00160
NZ_CP042285.1	26579	26758		plus	hypothetical protein		93521525	protein-coding		WP_211738027.1	59	FQN59_RS00165
NZ_CP042285.1	26777	30034		plus	DUF4906 domain-containing protein		93521526	protein-coding		WP_211738029.1	1085	FQN59_RS00170
NZ_CP042285.1	30056	32203		plus	hypothetical protein		93521527	protein-coding		WP_211738031.1	715	FQN59_RS00175
NZ_CP042285.1	32241	34838		plus	CotH kinase family protein		93521528	protein-coding		WP_211738033.1	865	FQN59_RS00180
NZ_CP042285.1	34893	36101		plus	OmpA family protein		93521529	protein-coding		WP_211738035.1	402	FQN59_RS00185
NZ_CP042285.1	36638	37120		plus	S24/S26 family peptidase		93521530	protein-coding		WP_211738037.1	160	FQN59_RS00190
NZ_CP042285.1	37129	38820		plus	ABC transporter ATP-binding protein		93521531	protein-coding		WP_211738039.1	563	FQN59_RS00195
NZ_CP042285.1	38804	40276		plus	helix-turn-helix domain-containing protein		93521532	protein-coding		WP_249222493.1	490	FQN59_RS00200
NZ_CP042285.1	40350	41690		plus	sugar phosphate nucleotidyltransferase		93521533	protein-coding		WP_211738041.1	446	FQN59_RS00205
NZ_CP042285.1	41717	42100		plus	hypothetical protein		93521534	protein-coding		WP_130085247.1	127	FQN59_RS00210
NZ_CP042285.1	42643	43032		minus	uncharacterized gene		93521535	pseudogene				FQN59_RS00215
NZ_CP042285.1	43041	43406		minus	BlaI/MecI/CopY family transcriptional regulator		93521536	protein-coding		WP_005857360.1	121	FQN59_RS00220
NZ_CP042285.1	43567	44022		minus	hypothetical protein		93521537	protein-coding		WP_005857362.1	151	FQN59_RS00225
NZ_CP042285.1	44077	45897		minus	V-type ATP synthase subunit I		93521538	protein-coding		WP_057319466.1	606	FQN59_RS00230
NZ_CP042285.1	45894	46517		minus	V-type ATP synthase subunit D		93521539	protein-coding		WP_005857366.1	207	FQN59_RS00235
NZ_CP042285.1	46529	47845		minus	V-type ATP synthase subunit B		93521540	protein-coding		WP_057319468.1	438	FQN59_RS00240
NZ_CP042285.1	47853	49610		minus	V-type ATP synthase subunit A		93521541	protein-coding		WP_008772320.1	585	FQN59_RS00245
NZ_CP042285.1	49614	50492		minus	DUF2764 domain-containing protein		93521542	protein-coding		WP_005862767.1	292	FQN59_RS00250
NZ_CP042285.1	50494	51084		minus	hypothetical protein		93521543	protein-coding		WP_005857375.1	196	FQN59_RS00255
NZ_CP042285.1	51281	51787		plus	GNAT family N-acetyltransferase		93521544	protein-coding		WP_005862768.1	168	FQN59_RS00260
NZ_CP042285.1	51839	51991		minus	hypothetical protein		93521545	protein-coding		WP_005857379.1	50	FQN59_RS00265
NZ_CP042285.1	52025	52939		minus	uncharacterized gene		93521546	pseudogene				FQN59_RS00270
NZ_CP042285.1	52972	54198		minus	MFS transporter		93521547	protein-coding		WP_211738043.1	408	FQN59_RS00275
NZ_CP042285.1	54421	55860		plus	glutamate decarboxylase		93521548	protein-coding		WP_005857385.1	479	FQN59_RS00280
NZ_CP042285.1	55936	56901		plus	glutaminase A	glsA	93521549	protein-coding		WP_005857387.1	321	FQN59_RS00285
NZ_CP042285.1	57012	57995		minus	lytic transglycosylase domain-containing protein		93521550	protein-coding		WP_005857389.1	327	FQN59_RS00290
NZ_CP042285.1	57970	59313		minus	gliding motility-associated C-terminal domain-containing protein		93521551	protein-coding		WP_211738045.1	447	FQN59_RS00295
NZ_CP042285.1	59418	61226		plus	LysM peptidoglycan-binding domain-containing protein		93521552	protein-coding		WP_121961373.1	602	FQN59_RS00300
NZ_CP042285.1	61232	61909		plus	porin family protein		93521553	protein-coding		WP_416389585.1	225	FQN59_RS00305
NZ_CP042285.1	62518	63147		plus	uridine kinase	udk	93521554	protein-coding		WP_005857397.1	209	FQN59_RS00310
NZ_CP042285.1	63104	64453		minus	cobyrinate a,c-diamide synthase		93521555	protein-coding		WP_211738047.1	449	FQN59_RS00315
NZ_CP042285.1	64594	66000		plus	phosphatase PAP2 family protein		93521556	protein-coding		WP_211738050.1	468	FQN59_RS00320
NZ_CP042285.1	66010	66831		minus	3-methyl-2-oxobutanoate hydroxymethyltransferase	panB	93521557	protein-coding		WP_005857401.1	273	FQN59_RS00325
