Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NZ_CP072258.1	1	1413		plus	chromosomal replication initiator protein DnaA	dnaA	75111212	protein-coding		WP_005678738.1	470	INE72_RS00005
NZ_CP072258.1	1516	2259		minus	NADPH-dependent oxidoreductase		75111213	protein-coding		WP_005682665.1	247	INE72_RS00010
NZ_CP072258.1	2544	5081		plus	adenosylcobalamin-dependent ribonucleoside-diphosphate reductase		75111214	protein-coding		WP_005682664.1	845	INE72_RS00015
NZ_CP072258.1	5212	7893		plus	4-alpha-glucanotransferase		75111215	protein-coding		WP_005682663.1	893	INE72_RS00020
NZ_CP072258.1	7925	8296		plus	dihydroneopterin aldolase	folB	75111216	protein-coding		WP_032838591.1	123	INE72_RS00025
NZ_CP072258.1	8362	8883		minus	methylglyoxal synthase		75111217	protein-coding		WP_005678731.1	173	INE72_RS00030
NZ_CP072258.1	8888	9916		minus	glycosyltransferase family 2 protein		75111218	protein-coding		WP_005678730.1	342	INE72_RS00035
NZ_CP072258.1	9913	10848		minus	lysophospholipid acyltransferase family protein		75111219	protein-coding		WP_005678729.1	311	INE72_RS00040
NZ_CP072258.1	10851	12170		minus	tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase MtaB	mtaB	75111220	protein-coding		WP_005678728.1	439	INE72_RS00045
NZ_CP072258.1	12281	13954		plus	long-chain fatty acid--CoA ligase		75111221	protein-coding		WP_005682659.1	557	INE72_RS00050
NZ_CP072258.1	14113	14328		plus	hypothetical protein		75111222	protein-coding		WP_005682658.1	71	INE72_RS00055
NZ_CP072258.1	14415	15320		minus	sugar phosphate isomerase/epimerase family protein		75111223	protein-coding		WP_005682657.1	301	INE72_RS00060
NZ_CP072258.1	15414	16277		minus	3-keto-disaccharide hydrolase		75111224	protein-coding		WP_005678725.1	287	INE72_RS00065
NZ_CP072258.1	16325	17812		minus	Gfo/Idh/MocA family oxidoreductase		75111225	protein-coding		WP_005678724.1	495	INE72_RS00070
NZ_CP072258.1	17824	18936		minus	Gfo/Idh/MocA family protein		75111226	protein-coding		WP_005678722.1	370	INE72_RS00075
NZ_CP072258.1	19169	20830		minus	DUF6377 domain-containing protein		75111227	protein-coding		WP_005678721.1	553	INE72_RS00080
NZ_CP072258.1	20908	21351		minus	50S ribosomal protein L9	rplI	75111228	protein-coding		WP_005682654.1	147	INE72_RS00085
NZ_CP072258.1	21366	21638		minus	30S ribosomal protein S18	rpsR	75111229	protein-coding		WP_004307964.1	90	INE72_RS00090
NZ_CP072258.1	21641	21985		minus	30S ribosomal protein S6	rpsF	75111230	protein-coding		WP_005678718.1	114	INE72_RS00095
NZ_CP072258.1	22146	22592		plus	MarR family winged helix-turn-helix transcriptional regulator		75111231	protein-coding		WP_005678715.1	148	INE72_RS00100
NZ_CP072258.1	22733	22909		plus	hypothetical protein		75111232	protein-coding		WP_005678714.1	58	INE72_RS00105
NZ_CP072258.1	22988	23689		minus	response regulator transcription factor RprY	rprY	75111233	protein-coding		WP_005678712.1	233	INE72_RS00110
NZ_CP072258.1	23691	25238		minus	sensor histidine kinase		75111234	protein-coding		WP_005682652.1	515	INE72_RS00115
NZ_CP072258.1	25504	27660		minus	elongation factor G		75111235	protein-coding		WP_005678710.1	718	INE72_RS00120
NZ_CP072258.1	27974	29104		plus	radical SAM family heme chaperone HemW	hemW	75111236	protein-coding		WP_005682650.1	376	INE72_RS00125
NZ_CP072258.1	29124	29684		plus	RNA polymerase sigma-70 factor		75111237	protein-coding		WP_005682649.1	186	INE72_RS00130
NZ_CP072258.1	29787	30677		plus	FecR family protein		75111238	protein-coding		WP_005682648.1	296	INE72_RS00135
NZ_CP072258.1	30674	33358		plus	TonB-dependent receptor		75111239	protein-coding		WP_005678705.1	894	INE72_RS00140
NZ_CP072258.1	33361	34404		plus	DUF4249 domain-containing protein		75111240	protein-coding		WP_005682647.1	347	INE72_RS00145
NZ_CP072258.1	34346	35023		minus	ATP-binding cassette domain-containing protein		75111241	protein-coding		WP_005682646.1	225	INE72_RS00150
NZ_CP072258.1	35497	35784		plus	LysO family transporter		75111242	protein-coding		WP_005678699.1	95	INE72_RS00155
NZ_CP072258.1	35781	36389		plus	LysO family transporter		75111243	protein-coding		WP_005678698.1	202	INE72_RS00160
NZ_CP072258.1	36553	37611		minus	DUF2027 domain-containing protein		75111244	protein-coding		WP_005682645.1	352	INE72_RS00165
