Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NZ_CP173697.1	278	594		plus	uncharacterized gene	tnpA	0	pseudogene				ACIRUI_RS00005
NZ_CP173697.1	612	1715		plus	IS200/IS605 family element RNA-guided endonuclease TnpB	tnpB	0	protein-coding		WP_055068770.1	367	ACIRUI_RS00010
NZ_CP173697.1	1993	3285		plus	ATP-binding protein		0	protein-coding		WP_055068771.1	430	ACIRUI_RS00015
NZ_CP173697.1	3584	3706		plus	uncharacterized gene		0	pseudogene				ACIRUI_RS00020
NZ_CP173697.1	4016	4135		minus	putative holin-like toxin		0	protein-coding		WP_226948254.1	39	ACIRUI_RS00025
NZ_CP173697.1	4383	4775		plus	hypothetical protein		0	protein-coding		WP_055068773.1	130	ACIRUI_RS00030
NZ_CP173697.1	4689	4940		minus	leucine-rich repeat protein		0	protein-coding		WP_226948264.1	83	ACIRUI_RS00035
NZ_CP173697.1	5120	5347		plus	hypothetical protein		0	protein-coding		WP_055068774.1	75	ACIRUI_RS00040
NZ_CP173697.1	5340	5795		plus	hypothetical protein		0	protein-coding		WP_055068775.1	151	ACIRUI_RS00045
NZ_CP173697.1	5924	6124		plus	uncharacterized gene		0	pseudogene				ACIRUI_RS00050
NZ_CP173697.1	6237	6992		plus	LytTR family DNA-binding domain-containing protein		0	protein-coding		WP_055068777.1	251	ACIRUI_RS00055
NZ_CP173697.1	6979	8286		plus	GHKL domain-containing protein		0	protein-coding		WP_055068778.1	435	ACIRUI_RS00060
NZ_CP173697.1	8352	8936		plus	accessory gene regulator B family protein		0	protein-coding		WP_055068779.1	194	ACIRUI_RS00065
NZ_CP173697.1	9028	10470		plus	IS110 family transposase		0	protein-coding		WP_405560122.1	480	ACIRUI_RS00070
NZ_CP173697.1	11022	11174		plus	cyclic lactone autoinducer peptide		0	protein-coding		WP_082413929.1	50	ACIRUI_RS00075
NZ_CP173697.1	11232	11621		plus	hypothetical protein		0	protein-coding		WP_141652753.1	129	ACIRUI_RS00080
NZ_CP173697.1	11682	12875		plus	DUF6034 family protein		0	protein-coding		WP_055068672.1	397	ACIRUI_RS00085
NZ_CP173697.1	12888	13649		plus	hypothetical protein		0	protein-coding		WP_055068671.1	253	ACIRUI_RS00090
NZ_CP173697.1	13642	14463		plus	hypothetical protein		0	protein-coding		WP_055068670.1	273	ACIRUI_RS00095
NZ_CP173697.1	14496	15137		plus	ABC transporter ATP-binding protein		0	protein-coding		WP_055068669.1	213	ACIRUI_RS00100
NZ_CP173697.1	15665	16162		plus	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme		0	protein-coding		WP_055068668.1	165	ACIRUI_RS00105
NZ_CP173697.1	16322	16918		plus	hypothetical protein		0	protein-coding		WP_055068667.1	198	ACIRUI_RS00110
NZ_CP173697.1	17000	17209		plus	hypothetical protein		0	protein-coding		WP_055068666.1	69	ACIRUI_RS00115
NZ_CP173697.1	17443	18807		plus	MATE family efflux transporter		0	protein-coding		WP_055068665.1	454	ACIRUI_RS00120
NZ_CP173697.1	18774	19055		plus	uncharacterized gene		0	pseudogene				ACIRUI_RS00125
NZ_CP173697.1	19277	19813		plus	RNA 2'-phosphotransferase		0	protein-coding		WP_022045809.1	178	ACIRUI_RS00130
NZ_CP173697.1	19851	20066		minus	type II toxin-antitoxin system antitoxin, RelB/DinJ family		0	protein-coding		WP_242853347.1	71	ACIRUI_RS00135
NZ_CP173697.1	20321	20626		plus	uncharacterized gene		0	pseudogene				ACIRUI_RS00140
NZ_CP173697.1	20601	21263		plus	response regulator transcription factor		0	protein-coding		WP_055068663.1	220	ACIRUI_RS00145
NZ_CP173697.1	21260	22279		plus	sensor histidine kinase		0	protein-coding		WP_055068662.1	339	ACIRUI_RS00150
NZ_CP173697.1	22427	23194		plus	ABC transporter ATP-binding protein		0	protein-coding		WP_055068661.1	255	ACIRUI_RS00155
NZ_CP173697.1	23184	25286		plus	ABC transporter permease		0	protein-coding		WP_055068660.1	700	ACIRUI_RS00160
NZ_CP173697.1	25302	26156		plus	CPBP family intramembrane glutamic endopeptidase		0	protein-coding		WP_055068659.1	284	ACIRUI_RS00165
NZ_CP173697.1	26256	26453		plus	hypothetical protein		0	protein-coding		WP_055068658.1	65	ACIRUI_RS00170
NZ_CP173697.1	26538	27131		plus	hypothetical protein		0	protein-coding		WP_141652752.1	197	ACIRUI_RS00175
NZ_CP173697.1	27200	27283		minus	tRNA-Leu		0	tRNA				ACIRUI_RS00180
NZ_CP173697.1	27440	27524		plus	tRNA-Leu		0	tRNA				ACIRUI_RS00185
NZ_CP173697.1	27685	28992		plus	MATE family efflux transporter		0	protein-coding		WP_055068682.1	435	ACIRUI_RS00190
NZ_CP173697.1	28989	30494		plus	hypothetical protein		0	protein-coding		WP_055068656.1	501	ACIRUI_RS00195
NZ_CP173697.1	30593	31606		plus	deoxyguanosinetriphosphate triphosphohydrolase		0	protein-coding		WP_055068681.1	337	ACIRUI_RS00200
NZ_CP173697.1	31686	33410		plus	DNA primase	dnaG	0	protein-coding		WP_022045788.1	574	ACIRUI_RS00205
NZ_CP173697.1	33448	34707		plus	RNA polymerase sigma factor RpoD	rpoD	0	protein-coding		WP_022045787.1	419	ACIRUI_RS00210
NZ_CP173697.1	34730	35452		plus	class I SAM-dependent methyltransferase		0	protein-coding		WP_055068654.1	240	ACIRUI_RS00215
NZ_CP173697.1	35439	37103		plus	nucleoside kinase		0	protein-coding		WP_082413927.1	554	ACIRUI_RS00220
NZ_CP173697.1	37169	37536		plus	RNase P RNA component class A	rnpB	0	RNase_P_RNA				ACIRUI_RS00225
NZ_CP173697.1	37738	38133		plus	hypothetical protein		0	protein-coding		WP_022045784.1	131	ACIRUI_RS00230
