Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_012778.1	1	1356		plus	chromosomal replication initiator protein DnaA	dnaA	41354800	protein-coding		WP_012738285.1	451	EUBELI_RS00010
NC_012778.1	1658	2761		plus	DNA polymerase III subunit beta	dnaN	41354801	protein-coding		WP_012738286.1	367	EUBELI_RS00015
NC_012778.1	2779	2988		plus	RNA-binding S4 domain-containing protein		41354802	protein-coding		WP_012738287.1	69	EUBELI_RS00020
NC_012778.1	2997	4088		plus	DNA replication/repair protein RecF	recF	41354803	protein-coding		WP_012738288.1	363	EUBELI_RS00025
NC_012778.1	4124	6058		plus	DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB	41354804	protein-coding		WP_012738289.1	644	EUBELI_RS00030
NC_012778.1	6285	8804		plus	DNA gyrase subunit A	gyrA	41354805	protein-coding		WP_012738290.1	839	EUBELI_RS00035
NC_012778.1	8863	9645		plus	alpha/beta hydrolase		41354806	protein-coding		WP_012738291.1	260	EUBELI_RS00040
NC_012778.1	9623	10390		plus	alpha/beta hydrolase		41354807	protein-coding		WP_012738292.1	255	EUBELI_RS00045
NC_012778.1	10412	11254		plus	fumarate hydratase		41354808	protein-coding		WP_012738293.1	280	EUBELI_RS00050
NC_012778.1	11270	11821		plus	Fe-S-containing hydro-lyase		41354809	protein-coding		WP_012738294.1	183	EUBELI_RS00055
NC_012778.1	11908	14130		plus	Ig-like domain-containing protein		41354810	protein-coding		WP_041687851.1	740	EUBELI_RS00060
NC_012778.1	14256	14343		plus	tRNA-Ser		41354811	tRNA				EUBELI_RS00065
NC_012778.1	14546	15142		plus	sugar O-acetyltransferase		41354812	protein-coding		WP_041687852.1	198	EUBELI_RS00070
NC_012778.1	15554	17084		plus	16S ribosomal RNA		41354813	rRNA				EUBELI_RS00075
NC_012778.1	17165	17282		plus	5S ribosomal RNA	rrf	41354814	rRNA				EUBELI_RS00080
NC_012778.1	17615	20502		plus	23S ribosomal RNA		41354815	rRNA				EUBELI_RS00085
NC_012778.1	20665	20738		plus	tRNA-Asp		41354816	tRNA				EUBELI_RS00090
NC_012778.1	20792	20864		plus	tRNA-Val		41354817	tRNA				EUBELI_RS00095
NC_012778.1	20873	20944		plus	tRNA-Thr		41354818	tRNA				EUBELI_RS00100
NC_012778.1	20990	21071		plus	tRNA-Tyr		41354819	tRNA				EUBELI_RS00105
NC_012778.1	21121	21194		plus	tRNA-Met		41354820	tRNA				EUBELI_RS00110
NC_012778.1	21199	21271		plus	tRNA-Phe		41354821	tRNA				EUBELI_RS00115
NC_012778.1	21364	22404		plus	L,D-transpeptidase family protein		41354822	protein-coding		WP_012738297.1	346	EUBELI_RS00120
NC_012778.1	22425	23828		plus	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme		41354823	protein-coding		WP_012738298.1	467	EUBELI_RS00125
NC_012778.1	23816	24418		plus	nucleoside/nucleotide kinase family protein		41354824	protein-coding		WP_012738299.1	200	EUBELI_RS00130
NC_012778.1	24408	24848		plus	YaaR family protein		41354825	protein-coding		WP_012738300.1	146	EUBELI_RS00135
NC_012778.1	24900	25895		plus	DNA polymerase III subunit		41354826	protein-coding		WP_012738301.1	331	EUBELI_RS00140
NC_012778.1	25910	26824		plus	PSP1 domain-containing protein		41354827	protein-coding		WP_012738302.1	304	EUBELI_RS00145
NC_012778.1	26817	27536		plus	tRNA1(Val) (adenine(37)-N6)-methyltransferase		41354828	protein-coding		WP_012738303.1	239	EUBELI_RS00150
NC_012778.1	27550	28428		plus	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	rsmI	41354829	protein-coding		WP_012738304.1	292	EUBELI_RS00155
NC_012778.1	28433	29050		minus	TetR/AcrR family transcriptional regulator		41354830	protein-coding		WP_041687853.1	205	EUBELI_RS00160
NC_012778.1	29452	31542		plus	efflux RND transporter permease subunit		41354831	protein-coding		WP_012738306.1	696	EUBELI_RS00165
NC_012778.1	31559	33943		plus	hypothetical protein		41354832	protein-coding		WP_012738307.1	794	EUBELI_RS00170
