Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NZ_JAJFOJ010000001.1	506	748		minus	hypothetical protein		75160522	protein-coding		WP_227970390.1	80	LK408_RS00005
NZ_JAJFOJ010000001.1	699	1007		minus	hypothetical protein		75160523	protein-coding		WP_227970391.1	102	LK408_RS00010
NZ_JAJFOJ010000001.1	1173	1349		minus	hypothetical protein		75160524	protein-coding		WP_227970392.1	58	LK408_RS00015
NZ_JAJFOJ010000001.1	2252	2653		minus	hypothetical protein		75160525	protein-coding		WP_227970393.1	133	LK408_RS00020
NZ_JAJFOJ010000001.1	2671	3363		minus	hypothetical protein		75160526	protein-coding		WP_007888297.1	230	LK408_RS00025
NZ_JAJFOJ010000001.1	3369	4613		minus	hypothetical protein		75160527	protein-coding		WP_172727130.1	414	LK408_RS00030
NZ_JAJFOJ010000001.1	4738	6495		minus	PP2C family protein-serine/threonine phosphatase		75160528	protein-coding		WP_007888295.1	585	LK408_RS00035
NZ_JAJFOJ010000001.1	6492	7322		minus	PP2C family protein-serine/threonine phosphatase		75160529	protein-coding		WP_007888294.1	276	LK408_RS00040
NZ_JAJFOJ010000001.1	7319	7825		minus	FHA domain-containing protein		75160530	protein-coding		WP_007888293.1	168	LK408_RS00045
NZ_JAJFOJ010000001.1	7839	8375		minus	FHA domain-containing protein		75160531	protein-coding		WP_044928149.1	178	LK408_RS00050
NZ_JAJFOJ010000001.1	8428	8847		minus	J domain-containing protein		88092450	protein-coding		WP_007888291.1	139	LK408_RS20325
NZ_JAJFOJ010000001.1	8955	9380		minus	hypothetical protein		75160533	protein-coding		WP_007888288.1	141	LK408_RS00060
NZ_JAJFOJ010000001.1	9448	9876		minus	hypothetical protein		75160534	protein-coding		WP_044928146.1	142	LK408_RS00065
NZ_JAJFOJ010000001.1	9911	12091		minus	hypothetical protein		75160535	protein-coding		WP_007888284.1	726	LK408_RS00070
NZ_JAJFOJ010000001.1	12103	13851		minus	vWA domain-containing protein		75160536	protein-coding		WP_055040051.1	582	LK408_RS00075
NZ_JAJFOJ010000001.1	13823	14422		minus	accessory gene regulator B family protein		75160537	protein-coding		WP_227970394.1	199	LK408_RS00080
NZ_JAJFOJ010000001.1	14419	14571		minus	cyclic lactone autoinducer peptide		75160538	protein-coding		WP_227970395.1	50	LK408_RS00085
NZ_JAJFOJ010000001.1	14723	16018		minus	sensor histidine kinase		75160539	protein-coding		WP_009860954.1	431	LK408_RS00090
NZ_JAJFOJ010000001.1	16019	16735		minus	LytR/AlgR family response regulator transcription factor		75160540	protein-coding		WP_009860953.1	238	LK408_RS00095
NZ_JAJFOJ010000001.1	16761	17102		minus	helix-turn-helix domain-containing protein		75160541	protein-coding		WP_009860952.1	113	LK408_RS00100
NZ_JAJFOJ010000001.1	17352	17603		minus	hypothetical protein		75160542	protein-coding		WP_009860951.1	83	LK408_RS00105
NZ_JAJFOJ010000001.1	17590	17901		minus	DUF5688 family protein		75160543	protein-coding		WP_009860950.1	103	LK408_RS00110
NZ_JAJFOJ010000001.1	17886	18110		minus	hypothetical protein		75160544	protein-coding		WP_009860949.1	74	LK408_RS00115
NZ_JAJFOJ010000001.1	18135	18317		minus	hypothetical protein		75160545	protein-coding		WP_009860948.1	60	LK408_RS00120
NZ_JAJFOJ010000001.1	18310	18639		minus	ParA family protein		75160546	protein-coding		WP_009860947.1	109	LK408_RS00125
NZ_JAJFOJ010000001.1	18977	20752		minus	S8 family peptidase		75160547	protein-coding		WP_227970396.1	591	LK408_RS00130
NZ_JAJFOJ010000001.1	20817	22664		plus	asparagine synthase (glutamine-hydrolyzing)	asnB	75160548	protein-coding		WP_044928705.1	615	LK408_RS00135
NZ_JAJFOJ010000001.1	23218	24528		minus	stage II sporulation protein P	spoIIP	75160549	protein-coding		WP_227970397.1	436	LK408_RS00140
NZ_JAJFOJ010000001.1	24595	25554		minus	GPR endopeptidase	gpr	75160550	protein-coding		WP_009860940.1	319	LK408_RS00145
NZ_JAJFOJ010000001.1	25943	26206		plus	30S ribosomal protein S20	rpsT	75160551	protein-coding		WP_044928703.1	87	LK408_RS00150
NZ_JAJFOJ010000001.1	26301	27281		minus	DNA polymerase III subunit delta	holA	75160552	protein-coding		WP_009860937.1	326	LK408_RS00155
NZ_JAJFOJ010000001.1	27291	27464		minus	hypothetical protein		75160553	protein-coding		WP_044928701.1	57	LK408_RS00160
NZ_JAJFOJ010000001.1	27749	30034		minus	DNA internalization-related competence protein ComEC/Rec2		75160554	protein-coding		WP_227970398.1	761	LK408_RS00165
NZ_JAJFOJ010000001.1	30095	31054		minus	GerMN domain-containing protein		75160555	protein-coding		WP_009860933.1	319	LK408_RS00170
NZ_JAJFOJ010000001.1	31099	32541		minus	sensor histidine kinase		75160556	protein-coding		WP_009860932.1	480	LK408_RS00175
NZ_JAJFOJ010000001.1	32557	33249		minus	response regulator transcription factor		75160557	protein-coding		WP_009860931.1	230	LK408_RS00180
NZ_JAJFOJ010000001.1	33252	33827		minus	helix-hairpin-helix domain-containing protein		75160558	protein-coding		WP_021923325.1	191	LK408_RS00185
NZ_JAJFOJ010000001.1	33954	35141		minus	extracellular solute-binding protein		75160559	protein-coding		WP_227970399.1	395	LK408_RS00190
NZ_JAJFOJ010000001.1	35141	36325		minus	aspartate aminotransferase family protein		75160560	protein-coding		WP_118125156.1	394	LK408_RS00195
NZ_JAJFOJ010000001.1	36318	37217		minus	acetylglutamate kinase	argB	75160561	protein-coding		WP_009860925.1	299	LK408_RS00200
NZ_JAJFOJ010000001.1	37230	38453		minus	bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ	argJ	75160562	protein-coding		WP_009860924.1	407	LK408_RS00205
