Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NZ_CP129143.1	61	1446		plus	chromosomal replication initiator protein DnaA	dnaA	99749334	protein-coding		WP_005827286.1	461	QWU49_RS00005
NZ_CP129143.1	1525	2259		minus	NADPH-dependent oxidoreductase		99749335	protein-coding		WP_044468986.1	244	QWU49_RS00010
NZ_CP129143.1	2677	5214		plus	adenosylcobalamin-dependent ribonucleoside-diphosphate reductase		99749336	protein-coding		WP_005827290.1	845	QWU49_RS00015
NZ_CP129143.1	5346	8039		plus	4-alpha-glucanotransferase		99749337	protein-coding		WP_005827292.1	897	QWU49_RS00020
NZ_CP129143.1	8826	9236		plus	hypothetical protein		99749338	protein-coding		WP_005827299.1	136	QWU49_RS00025
NZ_CP129143.1	9299	9634		plus	hypothetical protein		99749339	protein-coding		WP_004310306.1	111	QWU49_RS00030
NZ_CP129143.1	9642	9857		plus	hypothetical protein		99749340	protein-coding		WP_005827303.1	71	QWU49_RS00035
NZ_CP129143.1	9869	10090		plus	hypothetical protein		99749341	protein-coding		WP_005643956.1	73	QWU49_RS00040
NZ_CP129143.1	10114	10533		plus	PcfK-like family protein		99749342	protein-coding		WP_004310304.1	139	QWU49_RS00045
NZ_CP129143.1	10530	11795		plus	PcfJ domain-containing protein		99749343	protein-coding		WP_004310303.1	421	QWU49_RS00050
NZ_CP129143.1	11820	12077		plus	hypothetical protein		99749344	protein-coding		WP_005827305.1	85	QWU49_RS00055
NZ_CP129143.1	12109	12327		plus	DUF3873 domain-containing protein		99749345	protein-coding		WP_008770680.1	72	QWU49_RS00060
NZ_CP129143.1	12267	12572		plus	DUF6956 domain-containing protein		99749346	protein-coding		WP_004310302.1	101	QWU49_RS00065
NZ_CP129143.1	12626	12934		plus	hypothetical protein		99749347	protein-coding		WP_004310301.1	102	QWU49_RS00070
NZ_CP129143.1	13051	13272		plus	DUF7688 family protein		99749348	protein-coding		WP_004310300.1	73	QWU49_RS00075
NZ_CP129143.1	13335	13862		minus	glycoside hydrolase family protein		99749349	protein-coding		WP_005827312.1	175	QWU49_RS00080
