Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NZ_DS499571.1	1	488		plus	uncharacterized gene		73804332	pseudogene				ALIPUT_RS12215
NZ_DS499571.1	589	1039		plus	DUF2625 family protein		73802112	protein-coding		WP_004327462.1	150	ALIPUT_RS00020
NZ_DS499572.1	1	663		minus	uncharacterized gene		73802113	pseudogene				ALIPUT_RS00025
NZ_DS499572.1	951	1280		plus	hypothetical protein		73802114	protein-coding		WP_004327465.1	109	ALIPUT_RS00030
NZ_DS499572.1	1760	2014		plus	hypothetical protein		73804333	protein-coding		WP_231290526.1	84	ALIPUT_RS12220
NZ_DS499572.1	2197	2613		plus	uncharacterized gene		73802115	pseudogene				ALIPUT_RS00040
NZ_DS499572.1	2569	2776		minus	plasmid mobilization relaxosome protein MobC	mobC	99804927	protein-coding		WP_147554538.1	68	ALIPUT_RS13315
NZ_DS499573.1	1	1268		plus	V-type ATP synthase subunit I		73804393	protein-coding		WP_004327469.1	422	ALIPUT_RS12925
NZ_DS499573.1	1369	1764		plus	uncharacterized gene		73802116	pseudogene				ALIPUT_RS00050
NZ_DS499573.1	2048	2558		minus	TlpA family protein disulfide reductase		73802117	protein-coding		WP_050751413.1	169	ALIPUT_RS00055
NZ_DS499574.1	289	912		plus	hypothetical protein		73802118	protein-coding		WP_004327473.1	207	ALIPUT_RS00060
NZ_DS499574.1	1124	1951		minus	peptidase U32 family protein		73802119	protein-coding		WP_004327474.1	275	ALIPUT_RS00065
NZ_DS499575.1	1	562		minus	DUF7666 domain-containing protein		73802120	protein-coding		WP_004327475.1	187	ALIPUT_RS00070
NZ_DS499575.1	885	1077		plus	hypothetical protein		73804424	protein-coding		WP_222703785.1	63	ALIPUT_RS13080
NZ_DS499575.1	1046	1255		plus	hypothetical protein		73802121	protein-coding		WP_147554493.1	69	ALIPUT_RS00075
NZ_DS499575.1	1263	1519		plus	hypothetical protein		73804425	protein-coding		WP_222703786.1	85	ALIPUT_RS13085
NZ_DS499576.1	310	1047		minus	DUF4919 domain-containing protein		73802122	protein-coding		WP_004327478.1	245	ALIPUT_RS00080
NZ_DS499576.1	1127	1897		minus	4-hydroxy-tetrahydrodipicolinate synthase	dapA	73802123	protein-coding		WP_231290527.1	256	ALIPUT_RS00085
NZ_DS499576.1	2368	3621		minus	uncharacterized gene		73802124	pseudogene				ALIPUT_RS00090
NZ_DS499577.1	46	3345		plus	BACON domain-containing protein		73802125	protein-coding		WP_004327484.1	1099	ALIPUT_RS00095
NZ_DS499577.1	3834	5855		plus	dipeptidyl-peptidase 3 family protein		73802126	protein-coding		WP_147554487.1	673	ALIPUT_RS00105
NZ_DS499577.1	6151	6705		minus	PH domain-containing protein		73802127	protein-coding		WP_004327491.1	184	ALIPUT_RS00110
NZ_DS499577.1	6689	7387		minus	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase		73802128	protein-coding		WP_004327494.1	232	ALIPUT_RS00115
NZ_DS499577.1	7363	7782		minus	pyridoxamine 5'-phosphate oxidase family protein		73802129	protein-coding		WP_004327495.1	139	ALIPUT_RS00120
NZ_DS499577.1	7779	9092		minus	M23 family metallopeptidase		73802130	protein-coding		WP_004327496.1	437	ALIPUT_RS00125
NZ_DS499577.1	9309	10349		plus	tetraacyldisaccharide 4'-kinase	lpxK	73802131	protein-coding		WP_004327498.1	346	ALIPUT_RS00130
NZ_DS499577.1	10333	11139		plus	purine-nucleoside phosphorylase		73802132	protein-coding		WP_004327499.1	268	ALIPUT_RS00135
NZ_DS499577.1	11149	11631		plus	single-stranded DNA-binding protein		73802133	protein-coding		WP_004327500.1	160	ALIPUT_RS00140
NZ_DS499577.1	11737	12444		plus	CPBP family intramembrane metalloprotease		73802134	protein-coding		WP_004327501.1	235	ALIPUT_RS00145
NZ_DS499577.1	12676	13269		minus	hypothetical protein		73802135	protein-coding		WP_004327502.1	197	ALIPUT_RS00150
NZ_DS499577.1	13340	14068		minus	SDR family NAD(P)-dependent oxidoreductase		73802136	protein-coding		WP_004327503.1	242	ALIPUT_RS00155
NZ_DS499577.1	14304	16463		minus	hypothetical protein		73802137	protein-coding		WP_004327504.1	719	ALIPUT_RS00160
NZ_DS499577.1	16771	18072		plus	BACON domain-containing protein		73802138	protein-coding		WP_004327505.1	433	ALIPUT_RS00165
NZ_DS499577.1	18449	18883		minus	deoxycytidylate deaminase		73802139	protein-coding		WP_004327506.1	144	ALIPUT_RS00170
NZ_DS499577.1	18903	22196		minus	preprotein translocase subunit SecA	secA	73802140	protein-coding		WP_004327507.1	1097	ALIPUT_RS00175
NZ_DS499577.1	22409	23353		minus	DMT family transporter		73802141	protein-coding		WP_004327508.1	314	ALIPUT_RS00180
NZ_DS499577.1	23566	24528		minus	DUF2851 family protein		73802142	protein-coding		WP_004327510.1	320	ALIPUT_RS00190
NZ_DS499577.1	24532	24852		minus	metal-sulfur cluster assembly factor		73802143	protein-coding		WP_004327511.1	106	ALIPUT_RS00195
NZ_DS499577.1	24865	25281		minus	SufE family protein		73802144	protein-coding		WP_004327512.1	138	ALIPUT_RS00200
NZ_DS499577.1	25284	26915		minus	alkaline phosphatase family protein		73802145	protein-coding		WP_004327513.1	543	ALIPUT_RS00205
NZ_DS499577.1	27024	27647		minus	chloramphenicol acetyltransferase		73802146	protein-coding		WP_004327514.1	207	ALIPUT_RS00210
NZ_DS499577.1	27655	28614		minus	GSCFA domain-containing protein		73802147	protein-coding		WP_040293005.1	319	ALIPUT_RS00215
